"Province Name","District Name","DS Division Name","GN Division Name","AS Center","ASC Name","Officer Incharge","Contact Email","Contact Number","Services Available"
,,Nanattan,Isamalaithalvu,Murunkan,"Periya thethakkuli",,,,
,,Nanattan,Valkkaipettankandal,Nanattan,Purandiveli,,,,
,,Musali,"Arippu west",potkerni,Antonymelinchi,,,,
,,Musali,Koolankulam,Silawathurai,Koolankulam,,,,
,,Nanattan,Parikarikandal,Murunkan,Pethankulam,,,,
,,Musali,Akathimurippu,Potkerni,Thandikulam,,,,
,,Musali,Pandaraveli,potkerni,Pandaraveli,,,,
,,Nanattan,Isamalaithalvu,Murunkan,Vempadikulam,,,,
,,"Mannar Town",Puthukkamam,Uyilankulam,Thuvarankerni,,,,
,,Nanattan,Razoolputhuveli,Nanattan,Kanakanveli,,,,
,,"Mannar Town",Periyanavatkulam,Manthai,Nagathalvu,,,,
,,Musali,Maruthamadu,P.P.Potkeny,Maruthamadukulam,,,,
,,Nanattan,Ilanthaimoddai,Nanattan,Vannakulam,,,,
,,Musali,Veppankulam,P.P.Potkeny,"Periya Koomankulam",,,,
,,"Manthai west",Pappamoddai,Manthai,Kilavanarkaddu,,,,
,,"Manthai West",Pappamoddai,Manthai,Kandal,,,,
"North Western",Kurunagala,Giribawa,Sangappalaya,Thambuththa,"Andiyakotuwa wewa",,,,
,,Giribawa,Sangappalaya,,"Gallewa wewa",,,,
,,Giribawa,Sangappalaya,,"Kumbukwewa (sangappale)",,,,
,,Giribawa,WannikudaWewa,,"Horrow                 wewa (Sangappale)",,,,
,,Giribawa,Sangappalaya,,"Perumbadayagama wewa",,,,
,,Giribawa,WannikudaWewa,,"Achiriya-Weliagara wewa",,,,
,,Giribawa,Gampola,,"Aththikulama wewa",,,,
,,Giribawa,Gampola,,"Amunukole wewa",,,,
,,Giribawa,Aliyawetunawewa,,"Nochchiyagama wewa",,,,
,,Giribawa,Gampola,,"Kumbuk               wewa (Gampola)",,,,
,,Giribawa,Aliyawetunawewa,,"Diullegama wewa",,,,
,,Polpithigama,Niyandawanaya,Rambe,"Pothuwepitiya    pahala wewa",,,,
,,Polpithigama,Niyandawanaya,Rambe,"Meegahamula wewa",,,,
,,Galgamuwa,Nahettikulama,"Maha Nanneriya","Demeda Diul wewa",,,,
,,Ehetuwewa,Thimbiriyawa,Ehatuwewa,"Bedigama Kuda Wewa",,,,
,,Ehetuwewa,Hunugallewa,,"Mahameruwa Wewa",,,,
,,Ehetuwewa,Thimbiriyawa,,"Bedigama Maha Wewa",,,,
,,Kobeigane,Mawathagama,Kobeigane,"Maha Wewa",,,,
,,Ehetuwewa,Ethinimole,Ehatuwewa,"Angamale Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Hinguru Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Badalgama Wewa",,,,
,,Ehetuwewa,Ethinimole,,"Kudagale Wewa",,,,
,,Ehetuwewa,Galapitadigana,,"Galapita Digana Wewa",,,,
,,Galgamuwa,Madadombe,Galgamuwa,"Kapugama Wewa",,,,
,,Ehetuwewa,Ethinimole,Ehatuwewa,"Etinimole Wewa",,,,
,,Galgamuwa,Madadombe,Galgamuwa,"Iahala Gama Wewa",,,,
,,Polpithigama,Galgiriyawa,Moragollagama,"Wathwathte         Gama Wewa",,,,
,,Polpithigama,Galgiriyawa,,"Galgiriyawa Wewa",,,,
,,Polpithigama,Galgiriyawa,,"Wambotu Wewa",,,,
,,Polpithigama,Kambuwatawana,,"Polgaha Wewa",,,,
,,Polpithigama,"Ihala Thimbiriyawa",,"Dematagama Wewa",,,,
,,Polpithigama,Kambuwatawana,,"Bora Wewa",,,,
,,Polpithigama,nikawewa,,"Thibbatuwawa Wewa",,,,
,,Polpithigama,"Ihala Thimbiriyawa",,"Witharanagama Wewa",,,,
,,Polpithigama,Moragollagama,,"Mapegamuwa Wewa",,,,
,,Polpithigama,Moragollagama,,"Moragolla Gama Wewa",,,,
,,Polpithigama,Kubukkadawala,,"Pansale Wewa",,,,
,,Polpithigama,Nikawewa,,"Nika Wewa",,,,
,,Polpithigama,Nikawewa,,"Paththinigama Wewa",,,,
